Name	Description	Place Of Origin	Region	Link
Wampus Cat	"Visible only at dusk and dawn, half women/ half cat hunts near Applacians. Cat form has six leggs"	Chereoke	North America	https://aminoapps.com/c/harry-potter/page/blog/wampus-cat-drawing/vgTn_uDrmjWPoM4p58kbjxJZgDWnx
Ewah	Tulpa are creatures that spontaneously spawn from a young childs fantasy. It is only visible to the person who created it. Ewah are dangourus Tulpa that are created from the imagination of a madman. After drives creater insane it takes on a flesh form and drives others insane.	Cherokee 	North America	#
Nalusa Falayu	"long balck shadow being melts into shadows slides on stomach like a snake, kills. {slenderman?}"	Choctaw	North America	https://www.deviantart.com/rocueto/art/Nalusa-Falaya-540184396
Slide Rock Bolter	Gaint fish like beast that slides down hillside and eats everything in its way.	Colorado	North America	https://www.deviantart.com/ryancernnunos/art/Slide-Rock-Bolter-883731632
Melon Heads	Small humanoid bulbous headed humanoid that were mutated due to canabilism	Conneticut	North America	https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/82995df2-7f3f-49cf-be85-3ade61a6ba4f/d6dd8bt-33970fd8-329a-4381-a1b4-6a99e5b77910.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzgyOTk1ZGYyLTdmM2YtNDljZi1iZTg1LTNhZGU2MWE2YmE0ZlwvZDZkZDhidC0zMzk3MGZkOC0zMjlhLTQzODEtYTFiNC02YTk5ZTViNzc5MTAuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.bcBTXcsB-M88Ru_Ny9q12gTaiGX02YDA3Ra54p5Bvlc
La Ciguapa	Enchanting women with backward feet that lures men into woods	Dominica Republic	North America	https://www.deviantart.com/saxtorphart/art/La-Ciguapa-796559168
St Angestine Monster	Gaint Octipi (Kracken?)	Florida	North America	https://siarchives.si.edu/blog/saint-augustine-monster
Skunk ape	Big foot like creature that has a strong repunged odor. 	Florida	North America	#
Altamaha-ha	"Fish mosaurus type creature, lives in rice fields"	Georgia	North America	https://non-aliencreatures.fandom.com/wiki/Altamaha-ha
Zombie	Corpse reanimated through magic or other means. Usually to surve the magican against there will. 	Haitian	North America	#
Menehurle	Little people craft temples and roads. 	Hawaii	North America	#
Menhune	Small sature people who lived in Hawaii before sttlers arrived from Polynesia. 	Hawaii	North America	#
Nightmarcher	"ghost of ancient hawiin warriors, Nights of Kane, Ku, Lono, Akua, or Kaba"	Hawaii	North America	#
Ghatotkacha	"Humble and loyal gaint, human turn into gaint at will, ability to glide, "	Native American	North America	#
Beast of Busco	Gaint snaping turtle (oscar?) 	Indiana	North America	#
Galupalik	"kidnapped child by stuffing then into poach, and jumping in the sea."	Inuit	North America	#
Amarok	Gaint wolf that roams the barren lands or the artic. Amarok hunts alone in the wilderness instead of living in a pack. (wolf similar to twilight werewolf)	Inuit	North America	#
Ijiraq	"Preys on small children, shapeshifter, can turn invisible, Home has a glamour that confuses passer buys, Listen closly humanlike whislte is made by creature. "	Inuit	North America	#
Pal-Rai-Yuk	"Gaint sea monster that is snakelike, head that protrudes from the water almost 3 meters. Thick fur, six legs, three dorsal fins, and two heads, Each head has a long slimy tongue. Eat vicitms off of the dock, Summon tap on bottom of wooden pier. Can swim through snow. "	Inuit	North America	#
Mahaha	"Gaunt, extremely strong, ice blue skin, skin so tight around bodies it looks like bones are showing, head hung low, sullen eyes peer at its vicitms. Stringy hair falling from face, always smiles and giggling, Long fingernials, resemble knifes, Tickles its vicitms. "	Inuit 	North America	#
Ran Meker 	Half man and bat	Iowa	North America	#
Daguanoenyont	Gaint head with wings taht terrorised a village after man decapitad elders	Ironquois	North America	#
Pope Lick 	"Goat/man/sheep. ""Satan/demon"" hypnotises and leads victims too there death"	Kentucky	North America	#
Flat headed lake monster	Long eel with flatter head	Montanna 	North America	#
Honey Island Swamp	7ft tall grey haired glowing eyed creature	Lousinana	North America	#
Goatman	"Man with goat legs and head, ""satan?"" carries an axe. "	Maryland	North America	#
Dover Penon	Gangly creature spotted on stone walls	Massachetts	North America	#
Camazotz	"Gaint bat like man, Hunts Mayans. (So kills all people) created to kill wicked people and people who don't follow the Mayan gods. "	Mexico	North America	#
La Mano Peluda	hand of dead inquestion victim that takes children away if they leave bed	Mexico	North America	#
Nain Rogue	"Red headed dwarf with tail, bad luck your way"	Michigan	North America	#
Three legged lady of nash road	ghost that locals claim chases you down Nash Road. Lady grieved by daughters murder and all she found was a leg. So she stiched it onto her body and now she is a ghost attempting to find her daughters murder. 	Missippi	North America	#
     	12ft tall Gorrilla/wolf 	Missouri	North America	#
Wendigo	"taller, skinny, figure, faster than a normal human, eats human flesh. If you eat human flesh you become the windago. "	Native American	North America	#
Piasa	"Lion headed, antlers of deer, feathered dragon"	Native American	North America	#
Ogopogo	water serpent with seemingly affable flippers along its flank and a ominous horns atop its head. Malicous and hunts creatures (even humans) and eats them.	Native American	North America	#
Yee Naaldloshiit	Witchs manipulate body to transforms into coyote	Navajo	North America	#
Skin walker	"Witch transforms into animals, talk to skinwalker cause them to target you. "	Navajo	North America	#
Jersey Devil	flying hoofed biped blood curtling scream unwanted 13th child of a witch	New Jersey	North America	#
Ludwig	"Vampirc Dwarf, Prey on drunk and high dwellers"	New York	North America	#
Miniwashitu	"One eyed, one horned, goat legged, hairy, spicked back, can cause madness, blndess, and death"	South Dakota	North America	#
Loveland Frog man	3 ft tall frogs that walk on two legs	Ohio	North America	#
Ozark Howler	size of bear?... 	Southern United States	North America	#
Lake North	"Part man part goat ""pope lick?"""	Texas	North America	#
Bear lake monster	Serpent like creature	"Utah, Idaho"	North America	#
Bukwerdgie	"Once friendly now hates humans, prankster, sometimes just straight hostile. "	Wampanog Tribe (Delware)	North America	#
Snallygaster	"demon, bird, reptile, hybrid. Mortal enemy to the Dewayo. "	Washington DC	North America	#
Dewayo	"Monstrous wolf (abnormally fast, strong and big ""think twilight werewolf"") "	Washington DC	North America	#
Kogukhpak	"Tusks of mammoth bulbous legs like frogs, sun kills them so they have to live underground most of year, some foulish ones stay out and that�s were the mammoth carcussus come from. "	Yupik	North America	#
La Luz Mala	"Glowing Aperation in the form of a ball that leads mortals to there death, ghost of a soul in pain after death always found were they died. "	Argentina	South America	https://www.artstation.com/artwork/Kr0rd4
La Pisadeira	"Eat too much, fall asleep= sleep paralyse which is created from a red eyed lady, sitting on your chest and stares into your eyes creepily"	Brazil	South America	https://designinglife.biz/old-hag-pisadeira-brazil-legend/
La Gegua	Horse Skull headed women. Shpaeshifts into beutiful girl to lure men with her charm. Then tells them something that makes them go crazy.	Nicaragua	South America	#
El Silbon	"long limbed tall thin man (corpse looking), With a straw hat and a nap sack with human bones in it. If his whisle is leaving he is coming, If his whisle is coming closer he is leaving. Created from a curse put on by his grandpa for killing his murdurous father who killed his mother. "	South America	South America	#
Yacumama	"Ancient aquatic monster. Gaint horned snake, measures 160 ft long, can suck up its prey up to 350 ft away� don't anger it."	South America	South America	#
El Chupacabras	Small monster that eats and drains the blood from livestock. About the size of a small dog. 	South American	South America	https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-wixmp-ed30a86b8c4ca887773594c2.wixmp.com%2Ff%2Fe273edd9-cce5-4757-98a6-8d58d5701157%2Fddxalm9-e0029491-05a2-43e1-a1aa-480ded3627f1.jpg%2Fv1%2Ffill%2Fw_1600%2Ch_2041%2Cq_75%2Cstrp%2Fel_chupacabras_by_miguelfirewolf_ddxalm9-fullview.jpg%3Ftoken%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MjA0MSIsInBhdGgiOiJcL2ZcL2UyNzNlZGQ5LWNjZTUtNDc1Ny05OGE2LThkNThkNTcwMTE1N1wvZGR4YWxtOS1lMDAyOTQ5MS0wNWEyLTQzZTEtYTFhYS00ODBkZWQzNjI3ZjEuanBnIiwid2lkdGgiOiI8PTE2MDAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.km186Zu_6kiHrpDZ4lOrBa5zoao61Lv7WDvVmC7rj_Y&imgrefurl=https%3A%2F%2Fwww.deviantart.com%2Fmiguelfirewolf%2Fart%2FEl-Chupacabras-841982193&tbnid=rjw8PAfocX3llM&vet=12ahUKEwiXu7O7yrL3AhWeGzQIHUQnBnYQMygJegUIARDUAQ..i&docid=2iTb5uWaWZS8zM&w=1600&h=2041&q=El%20chupacabras&ved=2ahUKEwiXu7O7yrL3AhWeGzQIHUQnBnYQMygJegUIARDUAQ
Patasola	Hunts Male logger or hunter. Vampric eats and skins victims.	South American	South America	#
